Ecosystem_service;"""Total_explained""";"""Frequency_alone""";"""Isolation_alone""";"""PC1_alone""";"""PC2_alone""";"""Joint_effect_all""";"""Joint_geography_of_climate""";"""Joint_climate_itself""";"""Joint_GeoClim_x_ClimSelf""";"""AdjR2_complete_model""";"""Deviance_explained_complete"""
cultural_service_charismatic_species;0.946254235351465;0.0300950107224832;0.0331689907864138;0.292724713171089;0.0492794538793245;0.540986066792154;0.0128332016003491;0.00908540520102014;0.519067459990785;0.951996582681413;0.946254235351465
ecotourism;0.890487844650525;0.00112713217407607;0.0239661035455557;0.406372434164894;0.0508276172022711;0.408194557563728;0.00262914718489439;0.0100999975505979;0.395465412828236;0.900776833597528;0.890487844650525
carrion_control;0.891279431519679;0.0171182743527292;0.0333929216287475;0.286975845463592;0.0940289480184644;0.459763442056146;0.00620563079291982;0.00210960633607371;0.451448204927152;0.911613678281976;0.891279431519679
pollination;0.82948126569746;0.0145199592743179;0.0546454024265765;0.352120167982338;0.0702819057920952;0.337913830222132;0.00784350289047393;0.0168026353729159;0.313267691958742;0.860091076862626;0.82948126569746
seed_dispersal;0.897954246699778;0.0208227611674196;0.0428154519054573;0.348699868036919;0.0523519431401109;0.433264222449871;0.00963022849270541;0.0180596268380012;0.405574367119164;0.921531337772295;0.897954246699778
pest_and_disease_control;0.905793711330812;0.00961190790341823;0.027413288357636;0.378557408632225;0.080548008587194;0.409663097850339;0.00498121223096424;0.0163903497793615;0.388291535840013;0.936847439255688;0.905793711330812
nutrient_transporting_horizontal_and_vertical;0.923981228725616;0.00834742018977006;0.0244699711012586;0.366111997057808;0.05476394739126;0.470287892985519;0.00567344508543906;0.00638688373208546;0.458227564167995;0.930503621373801;0.923981228725616
ecosystem_engineering;0.916966790927146;0.00462099060515327;0.0208083779995163;0.434847878902798;0.0679612950534889;0.388728248366189;0.00174611974691497;0.01387410781264;0.373108020806634;0.932779670068345;0.916966790927146
rodent_control;0.85898855259078;0.00967544847376457;0.0342448454024997;0.246549551843137;0.153291405501599;0.415227301369779;0.00476473765826583;0.00636124081668354;0.40410132289483;0.879060519502396;0.85898855259078
disease_sentinelling;0.92050236292639;0.00605887596234332;0.0274566071463307;0.352603388127075;0.0922901870850771;0.442093304605564;0.00409254284179179;0.0115475679902364;0.426453193773536;0.942858509735933;0.92050236292639
total;0.927978993539088;0.0141253723067336;0.0349926650670196;0.353187101208498;0.0625710922428131;0.463102762714024;0.00806176511830425;0.0129215249008747;0.442119472694845;0.945021511473829;0.927978993539088
