"Ecosystem_service","Variable","Degrees_of_freedom","F_statistic","P_value","Adjusted_R_Squared","Deviance_Explained"
"cultural_service_charismatic_species","Frequency",7.03847658752287,139.420924838525,0,0.77067814709328,33742.6305730242
"cultural_service_charismatic_species","Frequency Weighted Distance",2.91031626852546,66.2172180906923,0,0.422321772894293,86079.9131910922
"cultural_service_charismatic_species","Isolation (Mean)",8.32728643624607,33.0873323823839,0,0.465158473873102,78384.9636161584
"ecotourism","Frequency",4.57198938125427,27.2663573116547,0,0.312984261483952,489.162016777329
"ecotourism","Frequency Weighted Distance",2.83772585797128,51.7655607492569,0,0.355263863040508,461.489982348382
"ecotourism","Isolation (Mean)",2.98571449044711,42.8909727855628,0,0.329112278986742,479.992895716475
"carrion_control","Frequency",4.12716012175603,15.4446294045596,0,0.18900415671509,1358.28311795236
"carrion_control","Frequency Weighted Distance",3.48170464809349,14.2584884896158,0,0.156754758737179,1415.07576091708
"carrion_control","Isolation (Mean)",3.06287125836311,33.3518140798862,0,0.282363044116453,1205.82400342674
"pollination","Frequency",4.09014350447984,33.0396483380525,0,0.332231548682999,7739.04294860905
"pollination","Frequency Weighted Distance",5.07285958696342,26.5659618746874,0,0.327867755937823,7766.2719612279
"pollination","Isolation (Mean)",3.19679201591674,65.8803124634421,0,0.443762641589187,6464.02591227305
"top_down_regulation","Frequency",3.93536223971435,9.99583448445371,0,0.125869006998144,95.3881648085438
"top_down_regulation","Frequency Weighted Distance",2.16367148866139,45.3727028996284,0,0.271347050330282,79.9425080664586
"top_down_regulation","Isolation (Mean)",1.57788229888841,21.0898995755209,0,0.112683296614152,97.5228359116619
"seed_dispersal","Frequency",5.1766254594144,103.134944486325,0,0.658864228353723,123182.030645411
"seed_dispersal","Frequency Weighted Distance",3.18663774018908,52.412189635782,0,0.384972453892527,223434.901474212
"seed_dispersal","Isolation (Mean)",8.36174291273947,34.4182722768872,0,0.47515425734654,187671.583974889
"pest_and_disease_control","Frequency",5.02974263081798,63.5664492414934,0,0.537204873933428,14051.44958297
"pest_and_disease_control","Frequency Weighted Distance",3.41438004890739,48.9025032067597,0,0.38346486387747,18811.8058976734
"pest_and_disease_control","Isolation (Mean)",3.92624110887464,111.192613984255,0,0.619465847429782,11592.8238978679
"nutrient_transporting_horizontal_and_vertical","Frequency",4.77732962555535,63.4285485392824,0,0.526189281554211,2300.96185988548
"nutrient_transporting_horizontal_and_vertical","Frequency Weighted Distance",4.18536855322879,78.2868176790161,0,0.548808082646627,2195.08225655427
"nutrient_transporting_horizontal_and_vertical","Isolation (Mean)",5.06881303259716,67.9709437184339,0,0.554673970234628,2160.70554549115
"ecosystem_engineering","Frequency",4.14247960393317,18.1240610888929,0,0.220375790650541,517.47222084395
"ecosystem_engineering","Frequency Weighted Distance",5.59462582692636,15.0185987322867,0,0.228070521305534,510.095510384993
"ecosystem_engineering","Isolation (Mean)",2.22559958207209,31.240978037965,0,0.210380293935395,527.170976178767
"rodent_control","Frequency",4.56169313237956,32.5007220840315,0,0.354691605828109,1027.9433856929
"rodent_control","Frequency Weighted Distance",3.10917830537144,78.9976436237567,0,0.481337048198777,829.868685706025
"rodent_control","Isolation (Mean)",2.01827515532393,60.0673996364167,0,0.317039698415998,1096.37151738957
"disease_sentinelling","Frequency",6.26032105010013,39.7805868612789,0,0.466054931222964,6607.30401946679
"disease_sentinelling","Frequency Weighted Distance",2.29123392225842,91.4515456978189,0,0.442305183080577,6985.28529926189
"disease_sentinelling","Isolation (Mean)",3.63653005975413,116.077198392473,0,0.61348227092232,4821.4903509452
"total","Frequency",5.75676361776481,109.928187799598,0,0.693103380648576,618998.020089139
"total","Frequency Weighted Distance",3.31229863629534,74.3674759819263,0,0.479923193932187,1056833.51843659
"total","Isolation (Mean)",7.64575661747389,55.5837420680797,0,0.585669872941971,830848.300553962
