es_SA,Melhor_Modelo,AIC,Deviance
cultural_service_charismatic_species,Modelo_2,2712.471697859838,0.9246603231883666
ecotourism,Modelo_5,1228.5401957558558,0.8987210222972103
carrion_control,Modelo_5,1367.111188293025,0.8854062310962907
pollination,Modelo_2,2375.4822203800263,0.8165227370492618
top_down_regulation,Modelo_5,937.7906527400526,0.7553136316684326
seed_dispersal,Modelo_2,4552.3774768847825,0.8902790670048322
pest_and_disease_control,Modelo_2,3036.507700741793,0.8892819464258641
nutrient_transporting_horizontal_and_vertical,Modelo_5,1696.3593438129424,0.9259850599832568
ecosystem_engineering,Modelo_2,998.5546407775968,0.9159063012542605
rodent_control,Modelo_5,1557.2446738685135,0.8497636454269965
disease_sentinelling,Modelo_2,2257.3026863990044,0.9111664665367971
total,Modelo_2,8240.243088249177,0.9145664981622188
