es_SA,Isolation_edf,Isolation_F,Isolation_p,FWD_edf,FWD_F,FWD_p,Temperature_edf,Temperature_F,Temperature_p,Precipitation_edf,Precipitation_F,Precipitation_p,R_sq,Deviance_Explained,GCV
cultural_service_charismatic_species,7.828413923079741,332.63144605417796,0,6.2620457954309305,139.75924383865134,0,8.439127739693912,366.94727330966384,0,8.638833196781617,438.5746725504878,0,0.9207084193161723,0.9367653286923475,1.1744800686180428
ecotourism,3.785749694402616,30.529330446504527,1.3157524034357326e-5,3.7763523754855397,74.37186377379666,0,1.0003570250693936,6.666061911492205,0.00979966278408001,3.2405368001850055,31.53656911972825,3.5062613246705787e-6,0.9108369411754593,0.9034680162930323,-0.6504290901104888
carrion_control,4.860396447456772,77.43016165312714,0,5.822345535086601,23.5960280304286,0.0011002939506848386,3.8093203545231478,5.12900117293957,0.4053963397982454,6.995273147202122,39.879507509513886,-3.7995334295493066e-6,0.9064212878100701,0.8910861978393594,-0.3438184083679794
pollination,6.873382376998026,256.232345713294,0,6.237557699590482,105.44209835797648,0,8.108653722360119,189.43518188241595,0,8.998397227853093,459.7965219683667,0,0.8730052362360939,0.8445079855182459,1.6009387444553613
top_down_regulation,1.0000463422289965,1.507723809459797,0.2194941021156286,2.261937803010743,21.72859217099947,7.919142453322037e-5,1.0000710585634833,0.471434619093881,0.49234343469898917,2.5002951196595484,7.2139718681025515,0.10117015225528742,0.7959460895093118,0.7626476391533752,-0.8570137256700148
seed_dispersal,7.8434803878568,763.4224173623941,0,8.485996239186212,206.6005249378349,0,7.641376626290299,588.6552851353805,0,8.962810841538673,1612.2876079301677,0,0.911652933545088,0.9000178719213,5.790574926938706
pest_and_disease_control,7.118800948098452,365.3017391233073,0,6.683451527967625,49.08938013344416,0,5.390085568412771,168.54446413071904,0,8.506375686185134,516.1731308909633,0,0.9181736900736269,0.8929406967761919,2.5458972839597784
nutrient_transporting_horizontal_and_vertical,4.640288616908043,111.86813341026728,0,4.9542491367621775,244.19251892957016,0,1.0001171810361642,31.1569243900465,0,6.007403516295214,121.37409058213983,0,0.9318841568789156,0.9339433799217287,-0.2412212022179241
ecosystem_engineering,3.805420430981053,26.628452174335404,6.291132128111165e-5,2.307921674368127,5.067168922021747,0.2158170778577964,4.888011904393199,17.441323138003256,0.007349261740411284,6.139222270415561,78.77127660012042,0,0.9315017578889955,0.9196173020011797,-0.49381951866702556
rodent_control,3.3089856304384706,59.70464194156819,0,3.873255609620245,43.417469134481394,0,5.1424314236603506,16.518972330682114,0.013882942770605478,6.960791656085805,78.93151786660792,0,0.8949472673168078,0.8634445788888103,-0.34905892044959486
disease_sentinelling,5.498450103983565,205.57854755727345,0,6.261103620180298,68.41295076919351,0,6.120454122520663,79.20096384833231,0,8.618326076441036,218.0967359803831,0,0.9425306271080227,0.9200242223350734,0.7171042166736585
total,8.662655409510212,2133.1798315784554,0,8.922836748006958,477.8560443087287,0,8.003636708786921,1197.7926572848503,0,8.929553103044254,2950.5903574621952,0,0.9264847579317436,0.9215767394420349,13.373748032189065
