es_SA,Mean_Residual,SD_Residual,Skewness,Kurtosis,Shapiro_p,Prop_Residuals_Within_2SD,Max_Residual,Residual_Quality
cultural_service_charismatic_species,-0.082,1.415,0.371,3.364,0.001,84.8,4.189423794764119,Poor
ecotourism,-0.038,0.53,-0.203,3.664,0.0027,100,1.6403526727222804,Good
carrion_control,-0.09,0.728,0.124,2.579,0.0205,99.7,2.0531835585992506,Good
pollination,-0.233,1.545,-0.029,3.546,2e-4,81.1,4.563367660900653,Poor
top_down_regulation,-0.019,0.319,-1.168,6.619,0,100,1.387409178043608,Good
seed_dispersal,-0.26,2.561,0.27,3.995,0,62.4,8.092571932625466,Poor
pest_and_disease_control,-0.217,1.832,0.383,3.671,0.0011,71.7,6.591180002044253,Poor
nutrient_transporting_horizontal_and_vertical,-0.055,0.815,0.313,3.946,0.0019,97.9,3.100614712246424,Good
ecosystem_engineering,-0.12,0.629,0.515,3.938,0,99.7,2.06048798661585,Acceptable
rodent_control,-0.074,0.734,-0.208,3.666,0,99.5,2.1507821622893872,Good
disease_sentinelling,-0.143,1.247,0.032,3.285,0.1845,87.5,4.11960552393696,Poor
total,-0.306,3.759,0.324,3.83,5e-4,46.7,11.960780198878826,Poor
