es_SA,Total_Deviance,Isolation_Alone,FWD_Alone,Temperature_Alone,Precipitation_Alone,Joint_Effect,Unexplained
cultural_service_charismatic_species,0.9368,0.0298,0.0121,0.0323,0.0371,0.8254,0.0632
nutrient_transporting_horizontal_and_vertical,0.9339,0.0227,0.0064,0.008,0.029,0.8679,0.0661
total,0.9216,0.0334,0.007,0.0178,0.041,0.8223,0.0784
disease_sentinelling,0.92,0.0291,0.0089,0.0121,0.0294,0.8405,0.08
ecosystem_engineering,0.9196,0.0108,0.0037,0.0031,0.0511,0.8509,0.0804
ecotourism,0.9035,0.0216,0.0211,0.0047,0.0288,0.8272,0.0965
seed_dispersal,0.9,0.0337,0.0097,0.0249,0.0696,0.7621,0.1
pest_and_disease_control,0.8929,0.0315,0.0037,0.0145,0.0409,0.8024,0.1071
carrion_control,0.8911,0.0404,0.009,0.0057,0.0246,0.8113,0.1089
rodent_control,0.8634,0.0325,0.0294,0.0137,0.057,0.7309,0.1366
pollination,0.8445,0.0474,0.028,0.0379,0.0887,0.6425,0.1555
top_down_regulation,0.7626,0.0093,0.0601,0.0073,0.0501,0.6357,0.2374
